FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 100, 2, 5, 10, RGB, 1, nearest neighbor, 9, 0.536000 
spatial pyramid, 100, 2, 5, 10, RGB, 1, nearest neighbor, 10, 0.530000 
spatial pyramid, 100, 2, 5, 10, RGB, 1, nearest neighbor, 11, 0.542667 
spatial pyramid, 100, 2, 5, 10, RGB, 1, nearest neighbor, 12, 0.540000 
spatial pyramid, 100, 2, 5, 10, RGB, 1, nearest neighbor, 13, 0.538000 
spatial pyramid, 100, 2, 5, 10, RGB, 1, nearest neighbor, 14, 0.538000 
spatial pyramid, 100, 2, 5, 10, RGB, 1, nearest neighbor, 15, 0.542667 

spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 1, 0.516667 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 2, 0.490667 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 3, 0.510000 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 4, 0.533333 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 5, 0.538667 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 6, 0.544667 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 7, 0.547333 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 8, 0.550000 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 9, 0.550667 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 10, 0.547333 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 11, 0.548000 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 12, 0.549333 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 13, 0.547333 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 14, 0.544000 
spatial pyramid, 1000, 2, 5, 10, RGB, 1, nearest neighbor, 15, 0.544667 

spatial pyramid, 100, 2, 5, 100, RGB, 1, nearest neighbor, 1, 0.501333 
spatial pyramid, 100, 2, 5, 100, RGB, 1, nearest neighbor, 2, 0.470667 
spatial pyramid, 100, 2, 5, 100, RGB, 1, nearest neighbor, 3, 0.499333 
